TRANSACTION_DATE,DAY_OF_MONTH,DAY_NAME,MONTH_NAME,MONTH_ID,NUMBER_OF_SALES,NUMBER_OF_UNIQUE_PRODUCTS,NUMBER_OF_SHOPS,TIME_BUCKET,DAY_CLASSIFICATION,SUM(TRANSACTION_QTY*UNIT_PRICE),STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,12,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee
1/1/2023,1,Sun,Jan,23Y01,4,1,1,Morning,Weekday,18.6,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,13.5,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,4,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm,Drip coffee
1/1/2023,1,Sun,Jan,23Y01,3,1,1,Morning,Weekday,9,Lower Manhattan,Bakery,Oatmeal Scone,Scone
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,4.25,Lower Manhattan,Coffee,Latte Rg,Barista Espresso
1/1/2023,1,Sun,Jan,23Y01,5,1,1,Morning,Weekday,20.4,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,6,Lower Manhattan,Coffee,Ouro Brasileiro shot,Barista Espresso
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,7.5,Lower Manhattan,Bakery,Jumbo Savory Scone,Scone
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,2.5,Hell's Kitchen,Tea,Lemon Grass Rg,Brewed herbal tea
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,13.5,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg,Hot chocolate
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,4.75,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,6.5,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,7,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti
1/1/2023,1,Sun,Jan,23Y01,3,1,1,Morning,Weekday,11.25,Lower Manhattan,Bakery,Chocolate Croissant,Pastry
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,3.75,Hell's Kitchen,Coffee,Latte,Barista Espresso
1/1/2023,1,Sun,Jan,23Y01,3,1,1,Morning,Weekday,18.75,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,2.5,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,17,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso
1/1/2023,1,Sun,Jan,23Y01,3,1,1,Morning,Weekday,15,Lower Manhattan,Tea,Lemon Grass Lg,Brewed herbal tea
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Afternoon,Weekday,7,Hell's Kitchen,Bakery,Croissant,Pastry
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,4,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee
1/1/2023,1,Sun,Jan,23Y01,1,1,1,Morning,Weekday,5,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,7.65,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea
1/1/2023,1,Sun,Jan,23Y01,2,1,1,Morning,Weekday,14,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,Hot chocolate
1/1/2023,1,Sun,Jan,23Y01,4,1,1,Morning,Weekday,21,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea
1/1/2023,1,Sun,Jan,23Y01,3,1,1,Afternoon,Weekday,15,Astoria,Tea,English Breakfast Lg,Brewed Black tea
